id,mpg,cylinders,displacement,horsepower,weight,acceleration,model.year,origin,car.name
1,18,8,307,130,3504,12,70,USA,chevrolet chevelle malibu
2,15,8,350,165,3693,11.5,70,USA,buick skylark 320
3,18,8,318,150,3436,11,70,USA,plymouth satellite
4,16,8,304,150,3433,12,70,USA,amc rebel sst
5,17,8,302,140,3449,10.5,70,USA,ford torino
6,15,8,429,198,4341,10,70,USA,ford galaxie 500
7,14,8,454,220,4354,9,70,USA,chevrolet impala
8,14,8,440,215,4312,8.5,70,USA,plymouth fury iii
9,14,8,455,225,4425,10,70,USA,pontiac catalina
10,15,8,390,190,3850,8.5,70,USA,amc ambassador dpl
11,15,8,383,170,3563,10,70,USA,dodge challenger se
12,14,8,340,160,3609,8,70,USA,plymouth 'cuda 340
13,15,8,400,150,3761,9.5,70,USA,chevrolet monte carlo
14,14,8,455,225,3086,10,70,USA,buick estate wagon (sw)
15,24,4,113,95,2372,15,70,Asia,toyota corona mark ii
16,22,6,198,95,2833,15.5,70,USA,plymouth duster
17,18,6,199,97,2774,15.5,70,USA,amc hornet
18,21,6,200,85,2587,16,70,USA,ford maverick
19,27,4,97,88,2130,14.5,70,Asia,datsun pl510
20,26,4,97,46,1835,20.5,70,Europe,volkswagen 1131 deluxe sedan
21,25,4,110,87,2672,17.5,70,Europe,peugeot 504
22,24,4,107,90,2430,14.5,70,Europe,audi 100 ls
23,25,4,104,95,2375,17.5,70,Europe,saab 99e
24,26,4,121,113,2234,12.5,70,Europe,bmw 2002
25,21,6,199,90,2648,15,70,USA,amc gremlin
26,10,8,360,215,4615,14,70,USA,ford f250
27,10,8,307,200,4376,15,70,USA,chevy c20
28,11,8,318,210,4382,13.5,70,USA,dodge d200
29,9,8,304,193,4732,18.5,70,USA,hi 1200d
30,27,4,97,88,2130,14.5,71,Asia,datsun pl510
31,28,4,140,90,2264,15.5,71,USA,chevrolet vega 2300
32,25,4,113,95,2228,14,71,Asia,toyota corona
33,19,6,232,100,2634,13,71,USA,amc gremlin
34,16,6,225,105,3439,15.5,71,USA,plymouth satellite custom
35,17,6,250,100,3329,15.5,71,USA,chevrolet chevelle malibu
36,19,6,250,88,3302,15.5,71,USA,ford torino 500
37,18,6,232,100,3288,15.5,71,USA,amc matador
38,14,8,350,165,4209,12,71,USA,chevrolet impala
39,14,8,400,175,4464,11.5,71,USA,pontiac catalina brougham
40,14,8,351,153,4154,13.5,71,USA,ford galaxie 500
41,14,8,318,150,4096,13,71,USA,plymouth fury iii
42,12,8,383,180,4955,11.5,71,USA,dodge monaco (sw)
43,13,8,400,170,4746,12,71,USA,ford country squire (sw)
44,13,8,400,175,5140,12,71,USA,pontiac safari (sw)
45,18,6,258,110,2962,13.5,71,USA,amc hornet sportabout (sw)
46,22,4,140,72,2408,19,71,USA,chevrolet vega (sw)
47,19,6,250,100,3282,15,71,USA,pontiac firebird
48,18,6,250,88,3139,14.5,71,USA,ford mustang
49,23,4,122,86,2220,14,71,USA,mercury capri 2000
50,28,4,116,90,2123,14,71,Europe,opel 1900
51,30,4,79,70,2074,19.5,71,Europe,peugeot 304
52,30,4,88,76,2065,14.5,71,Europe,fiat 124b
53,31,4,71,65,1773,19,71,Asia,toyota corolla 1200
54,35,4,72,69,1613,18,71,Asia,datsun 1200
55,27,4,97,60,1834,19,71,Europe,volkswagen model 111
56,26,4,91,70,1955,20.5,71,USA,plymouth cricket
57,24,4,113,95,2278,15.5,72,Asia,toyota corona hardtop
58,25,4,97.5,80,2126,17,72,USA,dodge colt hardtop
59,23,4,97,54,2254,23.5,72,Europe,volkswagen type 3
60,20,4,140,90,2408,19.5,72,USA,chevrolet vega
61,21,4,122,86,2226,16.5,72,USA,ford pinto runabout
62,13,8,350,165,4274,12,72,USA,chevrolet impala
63,14,8,400,175,4385,12,72,USA,pontiac catalina
64,15,8,318,150,4135,13.5,72,USA,plymouth fury iii
65,14,8,351,153,4129,13,72,USA,ford galaxie 500
66,17,8,304,150,3672,11.5,72,USA,amc ambassador sst
67,11,8,429,208,4633,11,72,USA,mercury marquis
68,13,8,350,155,4502,13.5,72,USA,buick lesabre custom
69,12,8,350,160,4456,13.5,72,USA,oldsmobile delta 88 royale
70,13,8,400,190,4422,12.5,72,USA,chrysler newport royal
71,19,3,70,97,2330,13.5,72,Asia,mazda rx2 coupe
72,15,8,304,150,3892,12.5,72,USA,amc matador (sw)
73,13,8,307,130,4098,14,72,USA,chevrolet chevelle concours (sw)
74,13,8,302,140,4294,16,72,USA,ford gran torino (sw)
75,14,8,318,150,4077,14,72,USA,plymouth satellite custom (sw)
76,18,4,121,112,2933,14.5,72,Europe,volvo 145e (sw)
77,22,4,121,76,2511,18,72,Europe,volkswagen 411 (sw)
78,21,4,120,87,2979,19.5,72,Europe,peugeot 504 (sw)
79,26,4,96,69,2189,18,72,Europe,renault 12 (sw)
80,22,4,122,86,2395,16,72,USA,ford pinto (sw)
81,28,4,97,92,2288,17,72,Asia,datsun 510 (sw)
82,23,4,120,97,2506,14.5,72,Asia,toyouta corona mark ii (sw)
83,28,4,98,80,2164,15,72,USA,dodge colt (sw)
84,27,4,97,88,2100,16.5,72,Asia,toyota corolla 1600 (sw)
85,13,8,350,175,4100,13,73,USA,buick century 350
86,14,8,304,150,3672,11.5,73,USA,amc matador
87,13,8,350,145,3988,13,73,USA,chevrolet malibu
88,14,8,302,137,4042,14.5,73,USA,ford gran torino
89,15,8,318,150,3777,12.5,73,USA,dodge coronet custom
90,12,8,429,198,4952,11.5,73,USA,mercury marquis brougham
91,13,8,400,150,4464,12,73,USA,chevrolet caprice classic
92,13,8,351,158,4363,13,73,USA,ford ltd
93,14,8,318,150,4237,14.5,73,USA,plymouth fury gran sedan
94,13,8,440,215,4735,11,73,USA,chrysler new yorker brougham
95,12,8,455,225,4951,11,73,USA,buick electra 225 custom
96,13,8,360,175,3821,11,73,USA,amc ambassador brougham
97,18,6,225,105,3121,16.5,73,USA,plymouth valiant
98,16,6,250,100,3278,18,73,USA,chevrolet nova custom
99,18,6,232,100,2945,16,73,USA,amc hornet
100,18,6,250,88,3021,16.5,73,USA,ford maverick
101,23,6,198,95,2904,16,73,USA,plymouth duster
102,26,4,97,46,1950,21,73,Europe,volkswagen super beetle
103,11,8,400,150,4997,14,73,USA,chevrolet impala
104,12,8,400,167,4906,12.5,73,USA,ford country
105,13,8,360,170,4654,13,73,USA,plymouth custom suburb
106,12,8,350,180,4499,12.5,73,USA,oldsmobile vista cruiser
107,18,6,232,100,2789,15,73,USA,amc gremlin
108,20,4,97,88,2279,19,73,Asia,toyota carina
109,21,4,140,72,2401,19.5,73,USA,chevrolet vega
110,22,4,108,94,2379,16.5,73,Asia,datsun 610
111,18,3,70,90,2124,13.5,73,Asia,maxda rx3
112,19,4,122,85,2310,18.5,73,USA,ford pinto
113,21,6,155,107,2472,14,73,USA,mercury capri v6
114,26,4,98,90,2265,15.5,73,Europe,fiat 124 sport coupe
115,15,8,350,145,4082,13,73,USA,chevrolet monte carlo s
116,16,8,400,230,4278,9.5,73,USA,pontiac grand prix
117,29,4,68,49,1867,19.5,73,Europe,fiat 128
118,24,4,116,75,2158,15.5,73,Europe,opel manta
119,20,4,114,91,2582,14,73,Europe,audi 100ls
120,19,4,121,112,2868,15.5,73,Europe,volvo 144ea
121,15,8,318,150,3399,11,73,USA,dodge dart custom
122,24,4,121,110,2660,14,73,Europe,saab 99le
123,20,6,156,122,2807,13.5,73,Asia,toyota mark ii
124,11,8,350,180,3664,11,73,USA,oldsmobile omega
125,20,6,198,95,3102,16.5,74,USA,plymouth duster
126,19,6,232,100,2901,16,74,USA,amc hornet
127,15,6,250,100,3336,17,74,USA,chevrolet nova
128,31,4,79,67,1950,19,74,Asia,datsun b210
129,26,4,122,80,2451,16.5,74,USA,ford pinto
130,32,4,71,65,1836,21,74,Asia,toyota corolla 1200
131,25,4,140,75,2542,17,74,USA,chevrolet vega
132,16,6,250,100,3781,17,74,USA,chevrolet chevelle malibu classic
133,16,6,258,110,3632,18,74,USA,amc matador
134,18,6,225,105,3613,16.5,74,USA,plymouth satellite sebring
135,16,8,302,140,4141,14,74,USA,ford gran torino
136,13,8,350,150,4699,14.5,74,USA,buick century luxus (sw)
137,14,8,318,150,4457,13.5,74,USA,dodge coronet custom (sw)
138,14,8,302,140,4638,16,74,USA,ford gran torino (sw)
139,14,8,304,150,4257,15.5,74,USA,amc matador (sw)
140,29,4,98,83,2219,16.5,74,Europe,audi fox
141,26,4,79,67,1963,15.5,74,Europe,volkswagen dasher
142,26,4,97,78,2300,14.5,74,Europe,opel manta
143,31,4,76,52,1649,16.5,74,Asia,toyota corona
144,32,4,83,61,2003,19,74,Asia,datsun 710
145,28,4,90,75,2125,14.5,74,USA,dodge colt
146,24,4,90,75,2108,15.5,74,Europe,fiat 128
147,26,4,116,75,2246,14,74,Europe,fiat 124 tc
148,24,4,120,97,2489,15,74,Asia,honda civic
149,26,4,108,93,2391,15.5,74,Asia,subaru
150,31,4,79,67,2000,16,74,Europe,fiat x1.9
151,19,6,225,95,3264,16,75,USA,plymouth valiant custom
152,18,6,250,105,3459,16,75,USA,chevrolet nova
153,15,6,250,72,3432,21,75,USA,mercury monarch
154,15,6,250,72,3158,19.5,75,USA,ford maverick
155,16,8,400,170,4668,11.5,75,USA,pontiac catalina
156,15,8,350,145,4440,14,75,USA,chevrolet bel air
157,16,8,318,150,4498,14.5,75,USA,plymouth grand fury
158,14,8,351,148,4657,13.5,75,USA,ford ltd
159,17,6,231,110,3907,21,75,USA,buick century
160,16,6,250,105,3897,18.5,75,USA,chevroelt chevelle malibu
161,15,6,258,110,3730,19,75,USA,amc matador
162,18,6,225,95,3785,19,75,USA,plymouth fury
163,21,6,231,110,3039,15,75,USA,buick skyhawk
164,20,8,262,110,3221,13.5,75,USA,chevrolet monza 2+2
165,13,8,302,129,3169,12,75,USA,ford mustang ii
166,29,4,97,75,2171,16,75,Asia,toyota corolla
167,23,4,140,83,2639,17,75,USA,ford pinto
168,20,6,232,100,2914,16,75,USA,amc gremlin
169,23,4,140,78,2592,18.5,75,USA,pontiac astro
170,24,4,134,96,2702,13.5,75,Asia,toyota corona
171,25,4,90,71,2223,16.5,75,Europe,volkswagen dasher
172,24,4,119,97,2545,17,75,Asia,datsun 710
173,18,6,171,97,2984,14.5,75,USA,ford pinto
174,29,4,90,70,1937,14,75,Europe,volkswagen rabbit
175,19,6,232,90,3211,17,75,USA,amc pacer
176,23,4,115,95,2694,15,75,Europe,audi 100ls
177,23,4,120,88,2957,17,75,Europe,peugeot 504
178,22,4,121,98,2945,14.5,75,Europe,volvo 244dl
179,25,4,121,115,2671,13.5,75,Europe,saab 99le
180,33,4,91,53,1795,17.5,75,Asia,honda civic cvcc
181,28,4,107,86,2464,15.5,76,Europe,fiat 131
182,25,4,116,81,2220,16.9,76,Europe,opel 1900
183,25,4,140,92,2572,14.9,76,USA,capri ii
184,26,4,98,79,2255,17.7,76,USA,dodge colt
185,27,4,101,83,2202,15.3,76,Europe,renault 12tl
186,17.5,8,305,140,4215,13,76,USA,chevrolet chevelle malibu classic
187,16,8,318,150,4190,13,76,USA,dodge coronet brougham
188,15.5,8,304,120,3962,13.9,76,USA,amc matador
189,14.5,8,351,152,4215,12.8,76,USA,ford gran torino
190,22,6,225,100,3233,15.4,76,USA,plymouth valiant
191,22,6,250,105,3353,14.5,76,USA,chevrolet nova
192,24,6,200,81,3012,17.6,76,USA,ford maverick
193,22.5,6,232,90,3085,17.6,76,USA,amc hornet
194,29,4,85,52,2035,22.2,76,USA,chevrolet chevette
195,24.5,4,98,60,2164,22.1,76,USA,chevrolet woody
196,29,4,90,70,1937,14.2,76,Europe,vw rabbit
197,33,4,91,53,1795,17.4,76,Asia,honda civic
198,20,6,225,100,3651,17.7,76,USA,dodge aspen se
199,18,6,250,78,3574,21,76,USA,ford granada ghia
200,18.5,6,250,110,3645,16.2,76,USA,pontiac ventura sj
201,17.5,6,258,95,3193,17.8,76,USA,amc pacer d/l
202,29.5,4,97,71,1825,12.2,76,Europe,volkswagen rabbit
203,32,4,85,70,1990,17,76,Asia,datsun b-210
204,28,4,97,75,2155,16.4,76,Asia,toyota corolla
205,26.5,4,140,72,2565,13.6,76,USA,ford pinto
206,20,4,130,102,3150,15.7,76,Europe,volvo 245
207,13,8,318,150,3940,13.2,76,USA,plymouth volare premier v8
208,19,4,120,88,3270,21.9,76,Europe,peugeot 504
209,19,6,156,108,2930,15.5,76,Asia,toyota mark ii
210,16.5,6,168,120,3820,16.7,76,Europe,mercedes-benz 280s
211,16.5,8,350,180,4380,12.1,76,USA,cadillac seville
212,13,8,350,145,4055,12,76,USA,chevy c10
213,13,8,302,130,3870,15,76,USA,ford f108
214,13,8,318,150,3755,14,76,USA,dodge d100
215,31.5,4,98,68,2045,18.5,77,Asia,honda accord cvcc
216,30,4,111,80,2155,14.8,77,USA,buick opel isuzu deluxe
217,36,4,79,58,1825,18.6,77,Europe,renault 5 gtl
218,25.5,4,122,96,2300,15.5,77,USA,plymouth arrow gs
219,33.5,4,85,70,1945,16.8,77,Asia,datsun f-10 hatchback
220,17.5,8,305,145,3880,12.5,77,USA,chevrolet caprice classic
221,17,8,260,110,4060,19,77,USA,oldsmobile cutlass supreme
222,15.5,8,318,145,4140,13.7,77,USA,dodge monaco brougham
223,15,8,302,130,4295,14.9,77,USA,mercury cougar brougham
224,17.5,6,250,110,3520,16.4,77,USA,chevrolet concours
225,20.5,6,231,105,3425,16.9,77,USA,buick skylark
226,19,6,225,100,3630,17.7,77,USA,plymouth volare custom
227,18.5,6,250,98,3525,19,77,USA,ford granada
228,16,8,400,180,4220,11.1,77,USA,pontiac grand prix lj
229,15.5,8,350,170,4165,11.4,77,USA,chevrolet monte carlo landau
230,15.5,8,400,190,4325,12.2,77,USA,chrysler cordoba
231,16,8,351,149,4335,14.5,77,USA,ford thunderbird
232,29,4,97,78,1940,14.5,77,Europe,volkswagen rabbit custom
233,24.5,4,151,88,2740,16,77,USA,pontiac sunbird coupe
234,26,4,97,75,2265,18.2,77,Asia,toyota corolla liftback
235,25.5,4,140,89,2755,15.8,77,USA,ford mustang ii 2+2
236,30.5,4,98,63,2051,17,77,USA,chevrolet chevette
237,33.5,4,98,83,2075,15.9,77,USA,dodge colt m/m
238,30,4,97,67,1985,16.4,77,Asia,subaru dl
239,30.5,4,97,78,2190,14.1,77,Europe,volkswagen dasher
240,22,6,146,97,2815,14.5,77,Asia,datsun 810
241,21.5,4,121,110,2600,12.8,77,Europe,bmw 320i
242,21.5,3,80,110,2720,13.5,77,Asia,mazda rx-4
243,43.1,4,90,48,1985,21.5,78,Europe,volkswagen rabbit custom diesel
244,36.1,4,98,66,1800,14.4,78,USA,ford fiesta
245,32.8,4,78,52,1985,19.4,78,Asia,mazda glc deluxe
246,39.4,4,85,70,2070,18.6,78,Asia,datsun b210 gx
247,36.1,4,91,60,1800,16.4,78,Asia,honda civic cvcc
248,19.9,8,260,110,3365,15.5,78,USA,oldsmobile cutlass salon brougham
249,19.4,8,318,140,3735,13.2,78,USA,dodge diplomat
250,20.2,8,302,139,3570,12.8,78,USA,mercury monarch ghia
251,19.2,6,231,105,3535,19.2,78,USA,pontiac phoenix lj
252,20.5,6,200,95,3155,18.2,78,USA,chevrolet malibu
253,20.2,6,200,85,2965,15.8,78,USA,ford fairmont (auto)
254,25.1,4,140,88,2720,15.4,78,USA,ford fairmont (man)
255,20.5,6,225,100,3430,17.2,78,USA,plymouth volare
256,19.4,6,232,90,3210,17.2,78,USA,amc concord
257,20.6,6,231,105,3380,15.8,78,USA,buick century special
258,20.8,6,200,85,3070,16.7,78,USA,mercury zephyr
259,18.6,6,225,110,3620,18.7,78,USA,dodge aspen
260,18.1,6,258,120,3410,15.1,78,USA,amc concord d/l
261,19.2,8,305,145,3425,13.2,78,USA,chevrolet monte carlo landau
262,17.7,6,231,165,3445,13.4,78,USA,buick regal sport coupe (turbo)
263,18.1,8,302,139,3205,11.2,78,USA,ford futura
264,17.5,8,318,140,4080,13.7,78,USA,dodge magnum xe
265,30,4,98,68,2155,16.5,78,USA,chevrolet chevette
266,27.5,4,134,95,2560,14.2,78,Asia,toyota corona
267,27.2,4,119,97,2300,14.7,78,Asia,datsun 510
268,30.9,4,105,75,2230,14.5,78,USA,dodge omni
269,21.1,4,134,95,2515,14.8,78,Asia,toyota celica gt liftback
270,23.2,4,156,105,2745,16.7,78,USA,plymouth sapporo
271,23.8,4,151,85,2855,17.6,78,USA,oldsmobile starfire sx
272,23.9,4,119,97,2405,14.9,78,Asia,datsun 200-sx
273,20.3,5,131,103,2830,15.9,78,Europe,audi 5000
274,17,6,163,125,3140,13.6,78,Europe,volvo 264gl
275,21.6,4,121,115,2795,15.7,78,Europe,saab 99gle
276,16.2,6,163,133,3410,15.8,78,Europe,peugeot 604sl
277,31.5,4,89,71,1990,14.9,78,Europe,volkswagen scirocco
278,29.5,4,98,68,2135,16.6,78,Asia,honda accord lx
279,21.5,6,231,115,3245,15.4,79,USA,pontiac lemans v6
280,19.8,6,200,85,2990,18.2,79,USA,mercury zephyr 6
281,22.3,4,140,88,2890,17.3,79,USA,ford fairmont 4
282,20.2,6,232,90,3265,18.2,79,USA,amc concord dl 6
283,20.6,6,225,110,3360,16.6,79,USA,dodge aspen 6
284,17,8,305,130,3840,15.4,79,USA,chevrolet caprice classic
285,17.6,8,302,129,3725,13.4,79,USA,ford ltd landau
286,16.5,8,351,138,3955,13.2,79,USA,mercury grand marquis
287,18.2,8,318,135,3830,15.2,79,USA,dodge st. regis
288,16.9,8,350,155,4360,14.9,79,USA,buick estate wagon (sw)
289,15.5,8,351,142,4054,14.3,79,USA,ford country squire (sw)
290,19.2,8,267,125,3605,15,79,USA,chevrolet malibu classic (sw)
291,18.5,8,360,150,3940,13,79,USA,chrysler lebaron town @ country (sw)
292,31.9,4,89,71,1925,14,79,Europe,vw rabbit custom
293,34.1,4,86,65,1975,15.2,79,Asia,maxda glc deluxe
294,35.7,4,98,80,1915,14.4,79,USA,dodge colt hatchback custom
295,27.4,4,121,80,2670,15,79,USA,amc spirit dl
296,25.4,5,183,77,3530,20.1,79,Europe,mercedes benz 300d
297,23,8,350,125,3900,17.4,79,USA,cadillac eldorado
298,27.2,4,141,71,3190,24.8,79,Europe,peugeot 504
299,23.9,8,260,90,3420,22.2,79,USA,oldsmobile cutlass salon brougham
300,34.2,4,105,70,2200,13.2,79,USA,plymouth horizon
301,34.5,4,105,70,2150,14.9,79,USA,plymouth horizon tc3
302,31.8,4,85,65,2020,19.2,79,Asia,datsun 210
303,37.3,4,91,69,2130,14.7,79,Europe,fiat strada custom
304,28.4,4,151,90,2670,16,79,USA,buick skylark limited
305,28.8,6,173,115,2595,11.3,79,USA,chevrolet citation
306,26.8,6,173,115,2700,12.9,79,USA,oldsmobile omega brougham
307,33.5,4,151,90,2556,13.2,79,USA,pontiac phoenix
308,41.5,4,98,76,2144,14.7,80,Europe,vw rabbit
309,38.1,4,89,60,1968,18.8,80,Asia,toyota corolla tercel
310,32.1,4,98,70,2120,15.5,80,USA,chevrolet chevette
311,37.2,4,86,65,2019,16.4,80,Asia,datsun 310
312,28,4,151,90,2678,16.5,80,USA,chevrolet citation
313,26.4,4,140,88,2870,18.1,80,USA,ford fairmont
314,24.3,4,151,90,3003,20.1,80,USA,amc concord
315,19.1,6,225,90,3381,18.7,80,USA,dodge aspen
316,34.3,4,97,78,2188,15.8,80,Europe,audi 4000
317,29.8,4,134,90,2711,15.5,80,Asia,toyota corona liftback
318,31.3,4,120,75,2542,17.5,80,Asia,mazda 626
319,37,4,119,92,2434,15,80,Asia,datsun 510 hatchback
320,32.2,4,108,75,2265,15.2,80,Asia,toyota corolla
321,46.6,4,86,65,2110,17.9,80,Asia,mazda glc
322,27.9,4,156,105,2800,14.4,80,USA,dodge colt
323,40.8,4,85,65,2110,19.2,80,Asia,datsun 210
324,44.3,4,90,48,2085,21.7,80,Europe,vw rabbit c (diesel)
325,43.4,4,90,48,2335,23.7,80,Europe,vw dasher (diesel)
326,36.4,5,121,67,2950,19.9,80,Europe,audi 5000s (diesel)
327,30,4,146,67,3250,21.8,80,Europe,mercedes-benz 240d
328,44.6,4,91,67,1850,13.8,80,Asia,honda civic 1500 gl
329,33.8,4,97,67,2145,18,80,Asia,subaru dl
330,29.8,4,89,62,1845,15.3,80,Europe,vokswagen rabbit
331,32.7,6,168,132,2910,11.4,80,Asia,datsun 280-zx
332,23.7,3,70,100,2420,12.5,80,Asia,mazda rx-7 gs
333,35,4,122,88,2500,15.1,80,Europe,triumph tr7 coupe
334,32.4,4,107,72,2290,17,80,Asia,honda accord
335,27.2,4,135,84,2490,15.7,81,USA,plymouth reliant
336,26.6,4,151,84,2635,16.4,81,USA,buick skylark
337,25.8,4,156,92,2620,14.4,81,USA,dodge aries wagon (sw)
338,23.5,6,173,110,2725,12.6,81,USA,chevrolet citation
339,30,4,135,84,2385,12.9,81,USA,plymouth reliant
340,39.1,4,79,58,1755,16.9,81,Asia,toyota starlet
341,39,4,86,64,1875,16.4,81,USA,plymouth champ
342,35.1,4,81,60,1760,16.1,81,Asia,honda civic 1300
343,32.3,4,97,67,2065,17.8,81,Asia,subaru
344,37,4,85,65,1975,19.4,81,Asia,datsun 210 mpg
345,37.7,4,89,62,2050,17.3,81,Asia,toyota tercel
346,34.1,4,91,68,1985,16,81,Asia,mazda glc 4
347,34.7,4,105,63,2215,14.9,81,USA,plymouth horizon 4
348,34.4,4,98,65,2045,16.2,81,USA,ford escort 4w
349,29.9,4,98,65,2380,20.7,81,USA,ford escort 2h
350,33,4,105,74,2190,14.2,81,Europe,volkswagen jetta
351,33.7,4,107,75,2210,14.4,81,Asia,honda prelude
352,32.4,4,108,75,2350,16.8,81,Asia,toyota corolla
353,32.9,4,119,100,2615,14.8,81,Asia,datsun 200sx
354,31.6,4,120,74,2635,18.3,81,Asia,mazda 626
355,28.1,4,141,80,3230,20.4,81,Europe,peugeot 505s turbo diesel
356,30.7,6,145,76,3160,19.6,81,Europe,volvo diesel
357,25.4,6,168,116,2900,12.6,81,Asia,toyota cressida
358,24.2,6,146,120,2930,13.8,81,Asia,datsun 810 maxima
359,22.4,6,231,110,3415,15.8,81,USA,buick century
360,26.6,8,350,105,3725,19,81,USA,oldsmobile cutlass ls
361,20.2,6,200,88,3060,17.1,81,USA,ford granada gl
362,17.6,6,225,85,3465,16.6,81,USA,chrysler lebaron salon
363,28,4,112,88,2605,19.6,82,USA,chevrolet cavalier
364,27,4,112,88,2640,18.6,82,USA,chevrolet cavalier wagon
365,34,4,112,88,2395,18,82,USA,chevrolet cavalier 2-door
366,31,4,112,85,2575,16.2,82,USA,pontiac j2000 se hatchback
367,29,4,135,84,2525,16,82,USA,dodge aries se
368,27,4,151,90,2735,18,82,USA,pontiac phoenix
369,24,4,140,92,2865,16.4,82,USA,ford fairmont futura
370,36,4,105,74,1980,15.3,82,Europe,volkswagen rabbit l
371,37,4,91,68,2025,18.2,82,Asia,mazda glc custom l
372,31,4,91,68,1970,17.6,82,Asia,mazda glc custom
373,38,4,105,63,2125,14.7,82,USA,plymouth horizon miser
374,36,4,98,70,2125,17.3,82,USA,mercury lynx l
375,36,4,120,88,2160,14.5,82,Asia,nissan stanza xe
376,36,4,107,75,2205,14.5,82,Asia,honda accord
377,34,4,108,70,2245,16.9,82,Asia,toyota corolla
378,38,4,91,67,1965,15,82,Asia,honda civic
379,32,4,91,67,1965,15.7,82,Asia,honda civic (auto)
380,38,4,91,67,1995,16.2,82,Asia,datsun 310 gx
381,25,6,181,110,2945,16.4,82,USA,buick century limited
382,38,6,262,85,3015,17,82,USA,oldsmobile cutlass ciera (diesel)
383,26,4,156,92,2585,14.5,82,USA,chrysler lebaron medallion
384,22,6,232,112,2835,14.7,82,USA,ford granada l
385,32,4,144,96,2665,13.9,82,Asia,toyota celica gt
386,36,4,135,84,2370,13,82,USA,dodge charger 2.2
387,27,4,151,90,2950,17.3,82,USA,chevrolet camaro
388,27,4,140,86,2790,15.6,82,USA,ford mustang gl
389,44,4,97,52,2130,24.6,82,Europe,vw pickup
390,32,4,135,84,2295,11.6,82,USA,dodge rampage
391,28,4,120,79,2625,18.6,82,USA,ford ranger
392,31,4,119,82,2720,19.4,82,USA,chevy s-10
