state,year,population,land_area,code,region,division
Alabama,2010,4785437,52420,AL,South,East South Central
Alabama,2011,4799069,52420,AL,South,East South Central
Alabama,2012,4815588,52420,AL,South,East South Central
Alabama,2013,4830081,52420,AL,South,East South Central
Alabama,2014,4841799,52420,AL,South,East South Central
Alabama,2015,4852347,52420,AL,South,East South Central
Alaska,2010,713910,665384,AK,West,Pacific
Alaska,2011,722128,665384,AK,West,Pacific
Alaska,2012,730443,665384,AK,West,Pacific
Alaska,2013,737068,665384,AK,West,Pacific
Alaska,2014,736283,665384,AK,West,Pacific
Alaska,2015,737498,665384,AK,West,Pacific
Arizona,2010,6407172,113990,AZ,West,Mountain
Arizona,2011,6472643,113990,AZ,West,Mountain
Arizona,2012,6554978,113990,AZ,West,Mountain
Arizona,2013,6632764,113990,AZ,West,Mountain
Arizona,2014,6730413,113990,AZ,West,Mountain
Arizona,2015,6829676,113990,AZ,West,Mountain
Arkansas,2010,2921964,53179,AR,South,West South Central
Arkansas,2011,2940667,53179,AR,South,West South Central
Arkansas,2012,2952164,53179,AR,South,West South Central
Arkansas,2013,2959400,53179,AR,South,West South Central
Arkansas,2014,2967392,53179,AR,South,West South Central
Arkansas,2015,2978048,53179,AR,South,West South Central
California,2010,37319502,163695,CA,West,Pacific
California,2011,37638369,163695,CA,West,Pacific
California,2012,37948800,163695,CA,West,Pacific
California,2013,38260787,163695,CA,West,Pacific
California,2014,38596972,163695,CA,West,Pacific
California,2015,38918045,163695,CA,West,Pacific
Colorado,2010,5047349,104094,CO,West,Mountain
Colorado,2011,5121108,104094,CO,West,Mountain
Colorado,2012,5192647,104094,CO,West,Mountain
Colorado,2013,5269035,104094,CO,West,Mountain
Colorado,2014,5350101,104094,CO,West,Mountain
Colorado,2015,5450623,104094,CO,West,Mountain
Connecticut,2010,3579114,5543,CT,Northeast,New England
Connecticut,2011,3588283,5543,CT,Northeast,New England
Connecticut,2012,3594547,5543,CT,Northeast,New England
Connecticut,2013,3594841,5543,CT,Northeast,New England
Connecticut,2014,3594524,5543,CT,Northeast,New England
Connecticut,2015,3587122,5543,CT,Northeast,New England
Delaware,2010,899593,2489,DE,South,South Atlantic
Delaware,2011,907381,2489,DE,South,South Atlantic
Delaware,2012,915179,2489,DE,South,South Atlantic
Delaware,2013,923576,2489,DE,South,South Atlantic
Delaware,2014,932487,2489,DE,South,South Atlantic
Delaware,2015,941252,2489,DE,South,South Atlantic
District of Columbia,2010,605226,68,DC,South,South Atlantic
District of Columbia,2011,619800,68,DC,South,South Atlantic
District of Columbia,2012,634924,68,DC,South,South Atlantic
District of Columbia,2013,650581,68,DC,South,South Atlantic
District of Columbia,2014,662328,68,DC,South,South Atlantic
District of Columbia,2015,675400,68,DC,South,South Atlantic
Florida,2010,18845537,65758,FL,South,South Atlantic
Florida,2011,19053237,65758,FL,South,South Atlantic
Florida,2012,19297822,65758,FL,South,South Atlantic
Florida,2013,19545621,65758,FL,South,South Atlantic
Florida,2014,19845911,65758,FL,South,South Atlantic
Florida,2015,20209042,65758,FL,South,South Atlantic
Georgia,2010,9711881,59425,GA,South,South Atlantic
Georgia,2011,9802431,59425,GA,South,South Atlantic
Georgia,2012,9901430,59425,GA,South,South Atlantic
Georgia,2013,9972479,59425,GA,South,South Atlantic
Georgia,2014,10067278,59425,GA,South,South Atlantic
Georgia,2015,10178447,59425,GA,South,South Atlantic
Hawaii,2010,1363963,10932,HI,West,Pacific
Hawaii,2011,1379329,10932,HI,West,Pacific
Hawaii,2012,1394804,10932,HI,West,Pacific
Hawaii,2013,1408243,10932,HI,West,Pacific
Hawaii,2014,1414538,10932,HI,West,Pacific
Hawaii,2015,1422052,10932,HI,West,Pacific
Idaho,2010,1570746,83569,ID,West,Mountain
Idaho,2011,1583910,83569,ID,West,Mountain
Idaho,2012,1595324,83569,ID,West,Mountain
Idaho,2013,1611206,83569,ID,West,Mountain
Idaho,2014,1631112,83569,ID,West,Mountain
Idaho,2015,1651059,83569,ID,West,Mountain
Illinois,2010,12840503,57914,IL,Midwest,East North Central
Illinois,2011,12867454,57914,IL,Midwest,East North Central
Illinois,2012,12882510,57914,IL,Midwest,East North Central
Illinois,2013,12895129,57914,IL,Midwest,East North Central
Illinois,2014,12884493,57914,IL,Midwest,East North Central
Illinois,2015,12858913,57914,IL,Midwest,East North Central
Indiana,2010,6490432,36420,IN,Midwest,East North Central
Indiana,2011,6516528,36420,IN,Midwest,East North Central
Indiana,2012,6537703,36420,IN,Midwest,East North Central
Indiana,2013,6568713,36420,IN,Midwest,East North Central
Indiana,2014,6593644,36420,IN,Midwest,East North Central
Indiana,2015,6608422,36420,IN,Midwest,East North Central
Iowa,2010,3050745,56273,IA,Midwest,West North Central
Iowa,2011,3066336,56273,IA,Midwest,West North Central
Iowa,2012,3076190,56273,IA,Midwest,West North Central
Iowa,2013,3092997,56273,IA,Midwest,West North Central
Iowa,2014,3109350,56273,IA,Midwest,West North Central
Iowa,2015,3120960,56273,IA,Midwest,West North Central
Kansas,2010,2858190,82278,KS,Midwest,West North Central
Kansas,2011,2869225,82278,KS,Midwest,West North Central
Kansas,2012,2885257,82278,KS,Midwest,West North Central
Kansas,2013,2893212,82278,KS,Midwest,West North Central
Kansas,2014,2900475,82278,KS,Midwest,West North Central
Kansas,2015,2909011,82278,KS,Midwest,West North Central
Kentucky,2010,4348181,40408,KY,South,East South Central
Kentucky,2011,4369821,40408,KY,South,East South Central
Kentucky,2012,4386346,40408,KY,South,East South Central
Kentucky,2013,4404659,40408,KY,South,East South Central
Kentucky,2014,4414349,40408,KY,South,East South Central
Kentucky,2015,4425976,40408,KY,South,East South Central
Louisiana,2010,4544532,52378,LA,South,West South Central
Louisiana,2011,4575625,52378,LA,South,West South Central
Louisiana,2012,4600972,52378,LA,South,West South Central
Louisiana,2013,4624527,52378,LA,South,West South Central
Louisiana,2014,4644013,52378,LA,South,West South Central
Louisiana,2015,4664628,52378,LA,South,West South Central
Maine,2010,1327629,35380,ME,Northeast,New England
Maine,2011,1328284,35380,ME,Northeast,New England
Maine,2012,1327729,35380,ME,Northeast,New England
Maine,2013,1328009,35380,ME,Northeast,New England
Maine,2014,1330513,35380,ME,Northeast,New England
Maine,2015,1328262,35380,ME,Northeast,New England
Maryland,2010,5788645,12406,MD,South,South Atlantic
Maryland,2011,5839419,12406,MD,South,South Atlantic
Maryland,2012,5886992,12406,MD,South,South Atlantic
Maryland,2013,5923188,12406,MD,South,South Atlantic
Maryland,2014,5957283,12406,MD,South,South Atlantic
Maryland,2015,5985562,12406,MD,South,South Atlantic
Massachusetts,2010,6566307,10554,MA,Northeast,New England
Massachusetts,2011,6613583,10554,MA,Northeast,New England
Massachusetts,2012,6663005,10554,MA,Northeast,New England
Massachusetts,2013,6713315,10554,MA,Northeast,New England
Massachusetts,2014,6762596,10554,MA,Northeast,New England
Massachusetts,2015,6794228,10554,MA,Northeast,New England
Michigan,2010,9877510,96714,MI,Midwest,East North Central
Michigan,2011,9882412,96714,MI,Midwest,East North Central
Michigan,2012,9897145,96714,MI,Midwest,East North Central
Michigan,2013,9913065,96714,MI,Midwest,East North Central
Michigan,2014,9929848,96714,MI,Midwest,East North Central
Michigan,2015,9931715,96714,MI,Midwest,East North Central
Minnesota,2010,5310828,86936,MN,Midwest,West North Central
Minnesota,2011,5346143,86936,MN,Midwest,West North Central
Minnesota,2012,5376643,86936,MN,Midwest,West North Central
Minnesota,2013,5413479,86936,MN,Midwest,West North Central
Minnesota,2014,5451079,86936,MN,Midwest,West North Central
Minnesota,2015,5482032,86936,MN,Midwest,West North Central
Mississippi,2010,2970548,48432,MS,South,East South Central
Mississippi,2011,2978731,48432,MS,South,East South Central
Mississippi,2012,2983816,48432,MS,South,East South Central
Mississippi,2013,2988711,48432,MS,South,East South Central
Mississippi,2014,2990468,48432,MS,South,East South Central
Mississippi,2015,2988471,48432,MS,South,East South Central
Missouri,2010,5995974,69707,MO,Midwest,West North Central
Missouri,2011,6010275,69707,MO,Midwest,West North Central
Missouri,2012,6024367,69707,MO,Midwest,West North Central
Missouri,2013,6040715,69707,MO,Midwest,West North Central
Missouri,2014,6056202,69707,MO,Midwest,West North Central
Missouri,2015,6071732,69707,MO,Midwest,West North Central
Montana,2010,990697,147040,MT,West,Mountain
Montana,2011,997316,147040,MT,West,Mountain
Montana,2012,1003783,147040,MT,West,Mountain
Montana,2013,1013569,147040,MT,West,Mountain
Montana,2014,1021869,147040,MT,West,Mountain
Montana,2015,1030475,147040,MT,West,Mountain
Nebraska,2010,1829542,77348,NE,Midwest,West North Central
Nebraska,2011,1840672,77348,NE,Midwest,West North Central
Nebraska,2012,1853303,77348,NE,Midwest,West North Central
Nebraska,2013,1865279,77348,NE,Midwest,West North Central
Nebraska,2014,1879321,77348,NE,Midwest,West North Central
Nebraska,2015,1891277,77348,NE,Midwest,West North Central
Nevada,2010,2702405,110572,NV,West,Mountain
Nevada,2011,2712730,110572,NV,West,Mountain
Nevada,2012,2743996,110572,NV,West,Mountain
Nevada,2013,2775970,110572,NV,West,Mountain
Nevada,2014,2817628,110572,NV,West,Mountain
Nevada,2015,2866939,110572,NV,West,Mountain
New Hampshire,2010,1316762,9349,NH,Northeast,New England
New Hampshire,2011,1320202,9349,NH,Northeast,New England
New Hampshire,2012,1324232,9349,NH,Northeast,New England
New Hampshire,2013,1326622,9349,NH,Northeast,New England
New Hampshire,2014,1333341,9349,NH,Northeast,New England
New Hampshire,2015,1336350,9349,NH,Northeast,New England
New Jersey,2010,8799446,8723,NJ,Northeast,Middle Atlantic
New Jersey,2011,8828117,8723,NJ,Northeast,Middle Atlantic
New Jersey,2012,8844942,8723,NJ,Northeast,Middle Atlantic
New Jersey,2013,8856972,8723,NJ,Northeast,Middle Atlantic
New Jersey,2014,8864525,8723,NJ,Northeast,Middle Atlantic
New Jersey,2015,8867949,8723,NJ,Northeast,Middle Atlantic
New Mexico,2010,2064552,121590,NM,West,Mountain
New Mexico,2011,2080450,121590,NM,West,Mountain
New Mexico,2012,2087309,121590,NM,West,Mountain
New Mexico,2013,2092273,121590,NM,West,Mountain
New Mexico,2014,2089568,121590,NM,West,Mountain
New Mexico,2015,2089291,121590,NM,West,Mountain
New York,2010,19399878,54555,NY,Northeast,Middle Atlantic
New York,2011,19499241,54555,NY,Northeast,Middle Atlantic
New York,2012,19572932,54555,NY,Northeast,Middle Atlantic
New York,2013,19624447,54555,NY,Northeast,Middle Atlantic
New York,2014,19651049,54555,NY,Northeast,Middle Atlantic
New York,2015,19654666,54555,NY,Northeast,Middle Atlantic
North Carolina,2010,9574323,53819,NC,South,South Atlantic
North Carolina,2011,9657592,53819,NC,South,South Atlantic
North Carolina,2012,9749476,53819,NC,South,South Atlantic
North Carolina,2013,9843336,53819,NC,South,South Atlantic
North Carolina,2014,9932887,53819,NC,South,South Atlantic
North Carolina,2015,10031646,53819,NC,South,South Atlantic
North Dakota,2010,674715,70698,ND,Midwest,West North Central
North Dakota,2011,685225,70698,ND,Midwest,West North Central
North Dakota,2012,701176,70698,ND,Midwest,West North Central
North Dakota,2013,722036,70698,ND,Midwest,West North Central
North Dakota,2014,737401,70698,ND,Midwest,West North Central
North Dakota,2015,754066,70698,ND,Midwest,West North Central
Ohio,2010,11539336,44826,OH,Midwest,East North Central
Ohio,2011,11544663,44826,OH,Midwest,East North Central
Ohio,2012,11548923,44826,OH,Midwest,East North Central
Ohio,2013,11576684,44826,OH,Midwest,East North Central
Ohio,2014,11602700,44826,OH,Midwest,East North Central
Ohio,2015,11617527,44826,OH,Midwest,East North Central
Oklahoma,2010,3759944,69899,OK,South,West South Central
Oklahoma,2011,3788379,69899,OK,South,West South Central
Oklahoma,2012,3818814,69899,OK,South,West South Central
Oklahoma,2013,3853214,69899,OK,South,West South Central
Oklahoma,2014,3878187,69899,OK,South,West South Central
Oklahoma,2015,3909500,69899,OK,South,West South Central
Oregon,2010,3837491,98379,OR,West,Pacific
Oregon,2011,3872036,98379,OR,West,Pacific
Oregon,2012,3899001,98379,OR,West,Pacific
Oregon,2013,3922468,98379,OR,West,Pacific
Oregon,2014,3963244,98379,OR,West,Pacific
Oregon,2015,4015792,98379,OR,West,Pacific
Pennsylvania,2010,12711160,46054,PA,Northeast,Middle Atlantic
Pennsylvania,2011,12745815,46054,PA,Northeast,Middle Atlantic
Pennsylvania,2012,12767118,46054,PA,Northeast,Middle Atlantic
Pennsylvania,2013,12776309,46054,PA,Northeast,Middle Atlantic
Pennsylvania,2014,12788313,46054,PA,Northeast,Middle Atlantic
Pennsylvania,2015,12784826,46054,PA,Northeast,Middle Atlantic
Rhode Island,2010,1053959,1545,RI,Northeast,New England
Rhode Island,2011,1053649,1545,RI,Northeast,New England
Rhode Island,2012,1054621,1545,RI,Northeast,New England
Rhode Island,2013,1055081,1545,RI,Northeast,New England
Rhode Island,2014,1055936,1545,RI,Northeast,New England
Rhode Island,2015,1056065,1545,RI,Northeast,New England
South Carolina,2010,4635649,32020,SC,South,South Atlantic
South Carolina,2011,4671994,32020,SC,South,South Atlantic
South Carolina,2012,4717354,32020,SC,South,South Atlantic
South Carolina,2013,4764080,32020,SC,South,South Atlantic
South Carolina,2014,4823617,32020,SC,South,South Atlantic
South Carolina,2015,4891938,32020,SC,South,South Atlantic
South Dakota,2010,816166,77116,SD,Midwest,West North Central
South Dakota,2011,823579,77116,SD,Midwest,West North Central
South Dakota,2012,833566,77116,SD,Midwest,West North Central
South Dakota,2013,842316,77116,SD,Midwest,West North Central
South Dakota,2014,849129,77116,SD,Midwest,West North Central
South Dakota,2015,853988,77116,SD,Midwest,West North Central
Tennessee,2010,6355311,42144,TN,South,East South Central
Tennessee,2011,6399291,42144,TN,South,East South Central
Tennessee,2012,6453898,42144,TN,South,East South Central
Tennessee,2013,6494340,42144,TN,South,East South Central
Tennessee,2014,6541223,42144,TN,South,East South Central
Tennessee,2015,6591170,42144,TN,South,East South Central
Texas,2010,25241971,268596,TX,South,West South Central
Texas,2011,25645629,268596,TX,South,West South Central
Texas,2012,26084481,268596,TX,South,West South Central
Texas,2013,26480266,268596,TX,South,West South Central
Texas,2014,26964333,268596,TX,South,West South Central
Texas,2015,27470056,268596,TX,South,West South Central
Utah,2010,2775332,84897,UT,West,Mountain
Utah,2011,2814384,84897,UT,West,Mountain
Utah,2012,2853375,84897,UT,West,Mountain
Utah,2013,2897640,84897,UT,West,Mountain
Utah,2014,2936879,84897,UT,West,Mountain
Utah,2015,2981835,84897,UT,West,Mountain
Vermont,2010,625879,9616,VT,Northeast,New England
Vermont,2011,627049,9616,VT,Northeast,New England
Vermont,2012,626090,9616,VT,Northeast,New England
Vermont,2013,626210,9616,VT,Northeast,New England
Vermont,2014,625214,9616,VT,Northeast,New England
Vermont,2015,625216,9616,VT,Northeast,New England
Virginia,2010,8023699,42775,VA,South,South Atlantic
Virginia,2011,8101155,42775,VA,South,South Atlantic
Virginia,2012,8185080,42775,VA,South,South Atlantic
Virginia,2013,8252427,42775,VA,South,South Atlantic
Virginia,2014,8310993,42775,VA,South,South Atlantic
Virginia,2015,8361808,42775,VA,South,South Atlantic
Washington,2010,6742830,71298,WA,West,Pacific
Washington,2011,6826627,71298,WA,West,Pacific
Washington,2012,6897058,71298,WA,West,Pacific
Washington,2013,6963985,71298,WA,West,Pacific
Washington,2014,7054655,71298,WA,West,Pacific
Washington,2015,7163657,71298,WA,West,Pacific
West Virginia,2010,1854239,24230,WV,South,South Atlantic
West Virginia,2011,1856301,24230,WV,South,South Atlantic
West Virginia,2012,1856872,24230,WV,South,South Atlantic
West Virginia,2013,1853914,24230,WV,South,South Atlantic
West Virginia,2014,1849489,24230,WV,South,South Atlantic
West Virginia,2015,1842050,24230,WV,South,South Atlantic
Wisconsin,2010,5690475,65496,WI,Midwest,East North Central
Wisconsin,2011,5705288,65496,WI,Midwest,East North Central
Wisconsin,2012,5719960,65496,WI,Midwest,East North Central
Wisconsin,2013,5736754,65496,WI,Midwest,East North Central
Wisconsin,2014,5751525,65496,WI,Midwest,East North Central
Wisconsin,2015,5760940,65496,WI,Midwest,East North Central
Wyoming,2010,564487,97813,WY,West,Mountain
Wyoming,2011,567299,97813,WY,West,Mountain
Wyoming,2012,576305,97813,WY,West,Mountain
Wyoming,2013,582122,97813,WY,West,Mountain
Wyoming,2014,582531,97813,WY,West,Mountain
Wyoming,2015,585613,97813,WY,West,Mountain
